JLCPCB Part #,MFR Part #,Manufacturer,Description,Stock,Package,Datasheet
C118987,NFM31PC276B0J3L,Murata Electronics,"27uF ±20% 5mΩ SMD-3P,1.6x3.2mm Feed Through Capacitors ROHS",4879,"SMD-3P,1.6x3.2mm",https://www.lcsc.com/datasheet/lcsc_datasheet_1810201315_Murata-Electronics-NFM31PC276B0J3L_C118987.pdf
C161525,GRM1555C1H110JA01D,Murata Electronics,50V 11pF C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,15839,0402,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Murata-Electronics-GRM1555C1H110JA01D_C161525.pdf
C25079,0402WGF1200TCE,uni-royal(uniroyal elec),62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 120Ω 0402 Chip Resistor - Surface Mount ROHS,676145,0402,https://www.lcsc.com/datasheet/lcsc_datasheet_2205311900_UNI-ROYAL-Uniroyal-Elec-0402WGF1200TCE_C25079.pdf
C1566,0402CG3R9C500NT,Fh (guangdong Fenghua Advanced tech),50V 3.9pF C0G 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,302231,0402,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402CG3R9C500NT_C1566.pdf
C15127,AO3401A,Alpha & Omega Semicon,"30V 4A 44mΩ@10V,4.3A 1.4W 1.3V@250uA 1 Piece P-Channel SOT-23 MOSFETs ROHS",1229349,SOT-23,https://www.lcsc.com/datasheet/lcsc_datasheet_2412061733_Alpha---Omega-Semicon-AO3401A_C15127.pdf
C2058582,OPA859IDSGR,Texas Instruments,WSON-8-EP(2x2) Operational Amplifier ROHS,4398,WSON-8-EP(2x2),https://www.lcsc.com/datasheet/lcsc_datasheet_2302221330_Texas-Instruments-OPA859IDSGR_C2058582.pdf
C7420370,SS8050,Hongjiacheng,"25V 300mW 120@100mA,1.0V 1.5A NPN SOT-23  Bipolar (BJT) ROHS",975913,SOT-23,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2312221203_hongjiacheng-SS8050_C7420370.pdf
C339970,YDRH105R-100M,Yjycoin,"4.45A 10uH ±20% SMD,10.1x10.1mm  Power Inductors ROHS",1263,"SMD,10.1x10.1mm",https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_YJYCOIN-YDRH105R-100M_C339970.pdf
C25796,0402WGF5602TCE,uni-royal(uniroyal elec),62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 56kΩ 0402 Chip Resistor - Surface Mount ROHS,312130,0402,https://www.lcsc.com/datasheet/lcsc_datasheet_2411221126_UNI-ROYAL-Uniroyal-Elec-0402WGF5602TCE_C25796.pdf
C77110,LQG15HS6N8J02D,Murata Electronics,600mA 6.8nH ±5% 220mΩ 0402  Inductors (SMD) ROHS,149413,0402,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_Murata-Electronics-LQG15HS6N8J02D_C77110.pdf
C180439,TPS7A7200RGTR,Texas Instruments,"2A Adjustable 900mV~5V Positive electrode 6.5V VQFN-16-EP(3x3) Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS",253,VQFN-16-EP(3x3),https://www.lcsc.com/datasheet/lcsc_datasheet_2303021230_Texas-Instruments-TPS7A7200RGTR_C180439.pdf
C270366,0201WMF1000TEE,uni-royal(uniroyal elec),50mW Thick Film Resistors 25V ±1% ±200ppm/℃ 100Ω 0201  Chip Resistor - Surface Mount ROHS,1236836,0201,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2205311945_UNI-ROYAL-Uniroyal-Elec-0201WMF1000TEE_C270366.pdf
